path,extension,bytes,category,usage_role
LancsBox/corpora/Climate_Change/HER_2011-02-15000692.txt,.txt,294,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-02-15000693.txt,.txt,534,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-02-16000691.txt,.txt,732,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-03-15000634.txt,.txt,792,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-03-15000635.txt,.txt,785,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-03-15000636.txt,.txt,1657,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-03-15000637.txt,.txt,898,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-03-15000638.txt,.txt,1653,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-03-15000639.txt,.txt,484,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-03-15000640.txt,.txt,1293,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-03-16000630.txt,.txt,3960,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-03-16000631.txt,.txt,895,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-03-16000632.txt,.txt,2962,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-03-16000633.txt,.txt,873,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-03-17000629.txt,.txt,2163,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-03-18000623.txt,.txt,426,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-03-18000624.txt,.txt,1322,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-03-18000625.txt,.txt,42,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-03-18000626.txt,.txt,1910,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-03-29000587.txt,.txt,1545,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-03-29000588.txt,.txt,1503,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-03-29000589.txt,.txt,1294,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-03-29000590.txt,.txt,1946,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-03-30000583.txt,.txt,1292,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-04-13000559.txt,.txt,1885,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-04-13000560.txt,.txt,706,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-04-14000557.txt,.txt,1007,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-04-14000558.txt,.txt,776,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-04-15000553.txt,.txt,2193,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-04-15000554.txt,.txt,896,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-04-15000555.txt,.txt,2436,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-04-15000556.txt,.txt,1834,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-04-16000550.txt,.txt,134,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-04-16000551.txt,.txt,2159,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-04-16000552.txt,.txt,498,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-04-26000525.txt,.txt,1479,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-04-26000526.txt,.txt,596,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-05-09000479.txt,.txt,573,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-05-09000480.txt,.txt,1559,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-05-09000481.txt,.txt,2007,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-05-09000482.txt,.txt,543,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-05-11000473.txt,.txt,3275,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-05-11000474.txt,.txt,345,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-05-19000454.txt,.txt,4568,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-05-19000455.txt,.txt,1464,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-05-19000456.txt,.txt,832,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-05-20000449.txt,.txt,484,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-05-20000450.txt,.txt,1039,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-05-21000445.txt,.txt,1219,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-05-21000446.txt,.txt,1365,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-05-21000447.txt,.txt,1581,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-05-21000448.txt,.txt,1513,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-05-23000441.txt,.txt,742,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-05-23000442.txt,.txt,1257,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-05-23000443.txt,.txt,1006,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-05-23000444.txt,.txt,671,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-05-24000439.txt,.txt,1005,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-05-24000440.txt,.txt,1330,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-06-01000428.txt,.txt,1598,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-06-01000429.txt,.txt,4063,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-06-02000421.txt,.txt,2003,auxiliary-validation,reference-corpora
LancsBox/corpora/Climate_Change/HER_2011-06-11000398.txt,.txt,1874,auxiliary-validation,reference-corpora
